time,open,high,low,close,long_price_open,long_price_close,short_price_open,short_price_close
2018-09-05 17:00:00+09:00,818724.0,818724.0,818724.0,818724.0,0.0,0.0,0.0,0.0
2018-09-05 17:15:00+09:00,821250.0,821250.0,821250.0,821250.0,0.0,0.0,0.0,0.0
2018-09-05 17:45:00+09:00,819260.0,819765.0,819260.0,819765.0,0.0,0.0,0.0,0.0
2018-09-05 18:00:00+09:00,820000.0,821388.0,819500.0,819546.0,0.0,0.0,0.0,0.0
2018-09-05 18:15:00+09:00,820441.0,821530.0,819646.0,820244.0,0.0,0.0,0.0,0.0
2018-09-05 18:30:00+09:00,820286.0,820286.0,819500.0,819500.0,0.0,0.0,0.0,0.0
2018-09-05 18:45:00+09:00,819001.0,819001.0,794358.0,794444.0,0.0,0.0,0.0,0.0
2018-09-05 19:00:00+09:00,795000.0,802465.0,794121.0,796768.0,0.0,0.0,0.0,0.0
2018-09-05 19:15:00+09:00,797048.0,800000.0,793256.0,796001.0,0.0,0.0,0.0,0.0
2018-09-05 19:30:00+09:00,798000.0,800000.0,797214.0,799875.0,0.0,0.0,0.0,0.0
2018-09-05 19:45:00+09:00,798000.0,799734.0,625723.0,778577.0,0.0,0.0,0.0,0.0
2018-09-05 20:00:00+09:00,750030.0,783599.0,750030.0,781388.0,0.0,0.0,0.0,0.0
2018-09-05 20:15:00+09:00,782422.0,783599.0,779965.0,782125.0,0.0,0.0,0.0,0.0
2018-09-05 20:30:00+09:00,782125.0,782313.0,776363.0,777000.0,0.0,0.0,0.0,0.0
2018-09-05 20:45:00+09:00,777000.0,783336.0,773239.0,780500.0,0.0,0.0,0.0,0.0
2018-09-05 21:00:00+09:00,782000.0,782000.0,780500.0,781999.0,0.0,0.0,0.0,0.0
2018-09-05 21:15:00+09:00,781999.0,785100.0,780369.0,780369.0,0.0,0.0,0.0,0.0
2018-09-05 21:30:00+09:00,784200.0,784200.0,782438.0,782438.0,0.0,0.0,0.0,0.0
2018-09-05 21:45:00+09:00,780000.0,782000.0,778200.0,779881.0,0.0,0.0,0.0,0.0
2018-09-05 22:00:00+09:00,779500.0,781559.0,777714.0,781559.0,0.0,0.0,0.0,0.0
2018-09-05 22:15:00+09:00,781104.0,784575.0,778792.0,784067.0,0.0,0.0,0.0,0.0
2018-09-05 22:30:00+09:00,783100.0,785463.0,780812.0,782400.0,0.0,0.0,0.0,0.0
2018-09-05 22:45:00+09:00,783000.0,788251.0,783000.0,786077.0,0.0,0.0,0.0,0.0
2018-09-05 23:00:00+09:00,786077.0,786507.0,784171.0,784550.0,0.0,0.0,0.0,0.0
2018-09-05 23:15:00+09:00,783669.0,784500.0,783033.0,784500.0,0.0,0.0,0.0,0.0
2018-09-05 23:30:00+09:00,784500.0,785378.0,782850.0,782850.0,0.0,0.0,0.0,0.0
2018-09-05 23:45:00+09:00,780283.0,783928.0,780245.0,781779.0,0.0,0.0,0.0,0.0
2018-09-06 00:00:00+09:00,781755.0,783774.0,781755.0,783774.0,0.0,0.0,0.0,0.0
2018-09-06 00:15:00+09:00,780620.0,782963.0,780100.0,782062.0,0.0,0.0,0.0,0.0
2018-09-06 00:30:00+09:00,781250.0,781560.0,779500.0,779500.0,0.0,0.0,0.0,0.0
2018-09-06 00:45:00+09:00,778162.0,782554.0,775128.0,779690.0,0.0,0.0,0.0,0.0
2018-09-06 01:00:00+09:00,780908.0,782563.0,779821.0,782466.0,0.0,0.0,0.0,0.0
2018-09-06 01:15:00+09:00,780036.0,780036.0,777354.0,777354.0,778295.0,774751.0,0.0,0.0
2018-09-06 01:30:00+09:00,779000.0,780819.0,779000.0,780819.0,0.0,0.0,0.0,0.0
2018-09-06 01:45:00+09:00,777000.0,777788.0,770100.0,774431.0,776929.0,774751.0,0.0,0.0
2018-09-06 02:00:00+09:00,774045.0,775322.0,770000.0,772450.0,770436.0,774751.0,0.0,0.0
2018-09-06 02:15:00+09:00,772436.0,772889.0,771591.0,771855.0,0.0,0.0,0.0,0.0
2018-09-06 02:30:00+09:00,772000.0,773071.0,771530.0,773071.0,0.0,0.0,0.0,0.0
2018-09-06 02:45:00+09:00,772568.0,772568.0,771481.0,771481.0,0.0,0.0,0.0,0.0
2018-09-06 03:00:00+09:00,774170.0,775257.0,774170.0,775257.0,0.0,0.0,774751.0,772086.0
2018-09-06 03:15:00+09:00,772877.0,772877.0,771790.0,771790.0,772086.0,771447.0,0.0,0.0
2018-09-06 04:15:00+09:00,768479.0,768479.0,768479.0,768479.0,768721.0,771447.0,0.0,0.0
2018-09-06 04:30:00+09:00,771490.0,771490.0,771490.0,771490.0,0.0,0.0,771447.0,773619.0
2018-09-06 04:45:00+09:00,770090.0,770090.0,770090.0,770090.0,0.0,0.0,0.0,0.0
2018-09-06 05:15:00+09:00,772501.0,776358.0,771414.0,776358.0,0.0,0.0,772799.0,773619.0
2018-09-06 05:30:00+09:00,774818.0,776212.0,772669.0,772669.0,773619.0,777577.0,0.0,0.0
2018-09-06 05:45:00+09:00,774781.0,774781.0,774781.0,774781.0,0.0,0.0,0.0,0.0
2018-09-06 06:00:00+09:00,775000.0,775483.0,774800.0,775175.0,0.0,0.0,0.0,0.0
2018-09-06 06:15:00+09:00,778641.0,778808.0,778641.0,778808.0,0.0,0.0,0.0,0.0
